2018 Rank,City,State,2018 Estimate,2010 Census,Change (%),2016 Land Area (sq mi),2016 Land Area (km2),2016 Population Density (sq mi),2016 Population Density (km2),Location (N),Location (W)
275,Richmond,California,110146.0,103701.0,6.21,30.1,78.0,3648.0,1409.0,37.9523,122.3606
276,Billings,Montana,109550.0,104170.0,5.16,43.7,113.2,2525.0,975.0,45.7885,108.5499
277,Inglewood,California,109419.0,109673.0,-0.23,9.1,23.6,12160.0,4700.0,33.9561,118.3443
278,Broken Arrow,Oklahoma,109171.0,98850.0,10.44,61.7,159.8,1741.0,672.0,36.0365,95.781
279,Sandy Springs,Georgia,108797.0,93853.0,15.92,37.7,97.6,2804.0,1083.0,33.9315,84.3687
280,Jurupa Valley,California,108393.0,0.0, ,42.9,111.1,2414.0,932.0,34.0026,117.4676
281,Hillsboro,Oregon,108389.0,91611.0,18.31,25.0,64.7,4207.0,1624.0,45.528,122.9357
282,Waterbury,Connecticut,108093.0,110366.0,-2.06,28.5,73.8,3799.0,1467.0,41.5585,73.0367
283,Santa Maria,California,107408.0,99553.0,7.89,22.8,59.1,4662.0,1800.0,34.9332,120.4438
284,Boulder,Colorado,107353.0,97385.0,10.24,24.8,64.2,4358.0,1683.0,40.027,105.2519
285,Greeley,Colorado,107348.0,92889.0,15.57,47.8,123.8,2176.0,840.0,40.4153,104.7697
286,Daly City,California,107008.0,101123.0,5.82,7.6,19.7,14009.0,5409.0,37.7009,122.465
287,Meridian,Idaho,106804.0,75092.0,42.23,29.8,77.2,3584.0,1384.0,43.6142,116.3989
288,Lewisville,Texas,106586.0,95290.0,11.85,36.7,95.1,2852.0,1101.0,33.0466,96.9818
289,Davie,Florida,106558.0,91992.0,15.83,34.9,90.4,2919.0,1127.0,26.0791,80.285
290,West Covina,California,106311.0,106098.0,0.2,16.0,41.4,6740.0,2600.0,34.0559,117.9099
291,League City,Texas,106244.0,83560.0,27.15,51.2,132.6,1992.0,769.0,29.4901,95.1091
292,Tyler,Texas,105729.0,96900.0,9.11,56.6,146.6,1852.0,715.0,32.3173,95.3059
293,Norwalk,California,105120.0,105549.0,-0.41,9.7,25.1,10946.0,4226.0,33.9076,118.0835
294,San Mateo,California,105025.0,97207.0,8.04,12.1,31.3,8592.0,3317.0,37.5603,122.3106
295,Green Bay,Wisconsin,104879.0,104057.0,0.79,45.4,117.6,2316.0,894.0,44.5207,87.9842
296,Wichita Falls,Texas,104576.0,104553.0,0.02,72.2,187.0,1450.0,560.0,33.9067,98.5259
297,Sparks,Nevada,104246.0,90264.0,15.49,35.9,93.0,2810.0,1080.0,39.5544,119.7356
298,Lakewood,New Jersey,104157.0,92843.0,12.19,24.7,64.0,4079.0,1575.0,40.0771,74.2004
299,Burbank,California,103695.0,103340.0,0.34,17.4,45.1,6003.0,2318.0,34.1901,118.3264
300,Rialto,California,103440.0,99171.0,4.3,22.3,57.8,4633.0,1789.0,34.1118,117.3883
301,Allen,Texas,103383.0,84246.0,22.72,27.1,70.2,3715.0,1434.0,33.0997,96.6631
302,El Cajon,California,103241.0,99478.0,3.78,14.5,37.6,7156.0,2763.0,32.8017,116.9604
303,Las Cruces,New Mexico,102926.0,97618.0,5.44,76.9,199.2,1323.0,511.0,32.3264,106.7897
304,Renton,Washington,102153.0,90927.0,12.35,23.4,60.6,4314.0,1666.0,47.4761,122.192
305,Davenport,Iowa,102085.0,99685.0,2.41,62.9,162.9,1631.0,630.0,41.5541,90.604
306,South Bend,Indiana,101860.0,101168.0,0.68,41.4,107.2,2457.0,949.0,41.6769,86.269
